run,arch,stage,block,n_queries,n_keys,head_dim,eff_keys,std_eff_keys,energy_std,std_energy_std,peak_x_unif,std_peak_x_unif,key0_x_unif,std_key0_x_unif,key_row_spread,std_key_row_spread,key_row_range,std_key_row_range,ctrl_eff_frac,std_ctrl_eff_frac,eff_frac,std_eff_frac,keys_identical,collapsed,n_skulls,skull_ids,row_mass,std_row_mass,frac_starved,std_frac_starved
cd_rep05_full,paper,D1,D1-STA3,1024,1024,1024,1024.00048828125,0.0,4.5940377428147856e-10,5.828204497289651e-11,1.0,0.0,1.0,0.0,2.0928349423835852e-09,3.248066489151283e-10,0.0,0.0,1.0000005960464478,0.0,1.0000004768371582,0.0,True,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D1,D1-STA4,1024,1024,1024,1024.00048828125,0.0,5.102454755008995e-10,8.860689134516249e-11,1.0,0.0,1.0,0.0,2.0928349423835852e-09,3.248066489151283e-10,0.0,0.0,1.0000005960464478,0.0,1.0000004768371582,0.0,True,True,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D2,D2-STA1,3072,3072,426,2832.222981770833,8.21879526938899,0.3910739918549855,0.0079829981491301,1.6828181346257527,0.0128629042254271,1.0227528015772502,0.0012662571159711,0.0784747377038002,0.0011297500608096,0.7031053304672241,0.0083328412307226,0.9997817476590476,8.936766361014698e-06,0.9219475852118598,0.0026753890850875,False,False,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D2,D2-STA2,3072,3072,426,2238.0369466145835,40.22070823686732,0.9509469072024028,0.0349132095432875,2.845028241475424,0.0632956423655446,1.5771249930063884,0.0356409697599764,0.0784747377038002,0.0011297500608096,0.7031053304672241,0.0083328412307226,0.9985103209813436,0.0001202163412692,0.728527651892768,0.0130926784625219,False,False,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D2,D2-STA3,3072,3072,426,1649.5233561197915,36.30573278264546,1.0686172644297285,0.0538509747598962,79.09873962402344,7.650585068906189,0.758206844329834,0.0218110852784316,0.0784747377038002,0.0011297500608096,0.7031053304672241,0.0083328412307226,0.9983202616373698,0.0001721242434191,0.5369542174869114,0.011818272390184,False,False,3,083 053 070,1.0,0.0,0.0,0.0
cd_rep05_full,paper,D2,D2-STA4,3072,3072,426,1578.829345703125,95.26066967025218,1.9813581705093384,0.2019203849077433,59.7525380452474,7.778939407646851,1.508695125579834,0.0245115648360622,0.0784747377038002,0.0011297500608096,0.7031053304672241,0.0083328412307226,0.993915299574534,0.0010932406058408,0.5139418443044027,0.0310093325749518,False,False,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA1,2048,2048,256,2047.9984130859373,0.0005179004745018,0.0013651691454773,0.0002066805066284,1.0047256151835124,0.00065971868633,1.00000003973643,4.599824310457797e-07,0.0028448582161217,0.0002112269006124,0.039587166160345,0.0037975330577511,1.0000000794728596,5.6195798014525375e-08,0.999999225139618,2.5288109106536417e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA2,2048,2048,256,2047.9984130859373,0.0005179004745018,0.0013552426438157,0.0002049530187245,1.0049151579538982,0.0007115867963722,1.0000001192092896,5.41932650287384e-07,0.0029968719463795,0.0002330978137806,0.0430059035619099,0.0051196346148186,1.00000003973643,5.6195798014525375e-08,0.999999225139618,2.5288109106536417e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA3,2048,2048,256,2047.9984944661453,0.0004710220093908,0.00143198397321,0.0002391178134394,1.0049711465835571,0.0007620062435411,0.999999980131785,6.200665845206274e-07,0.0031576433684676,0.0002538988953318,0.0451478784283002,0.0032410745916659,1.0000000794728596,5.6195798014525375e-08,0.9999992648760476,2.2999121552288985e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA4,2048,2048,256,2047.997965494792,0.0007071186196688,0.0016801473684608,0.0002961057372881,1.0057855049769084,0.0009198084255862,0.9999999602635702,8.278157971699897e-07,0.0034017980409165,0.0002820021223752,0.0451478784283002,0.0032410745916659,1.0000001192092896,0.0,0.9999990065892538,3.452727635102027e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA5,2048,2048,512,2047.999918619792,5.7544497166873984e-05,0.0007082226220518,0.0001226116665722,1.002625862757365,0.0004091782221678,1.00000003973643,1.4868010627325145e-07,0.0015664549234012,0.0001196755219981,0.0350303997596104,0.0009857535925573,1.0000001192092896,0.0,0.9999999602635702,2.8097899007262688e-08,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA6,2048,2048,512,2047.9996744791667,0.0002074796351559,0.0007161809480749,0.0001212565315824,1.0033164024353027,0.000518809602137,1.0000000596046448,8.429369702178808e-08,0.0017832729111736,0.0001402929792218,0.0358178863922754,0.0015923412363998,1.0,0.0,0.9999998410542806,1.0130841560349434e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
tie_qk,paper+tie_qk,encoder,E-SA7,2048,2048,512,2047.999267578125,0.0003593652696259,0.0010109560680575,0.0001669516824034,1.004236380259196,0.0006849834401998,0.9999999205271404,2.2999121552288985e-07,0.0020726432170098,0.0001704002898461,0.0356821306049823,0.0014096569041745,1.0000000794728596,5.6195798014525375e-08,0.9999996423721312,1.7547132305955584e-07,False,True,3,083 053 070,1.0,0.0,0.0,0.0
