id,thresh_mm,n_gt,n_true_defect,n_geom_defect,true_pct,geom_pct,tp,fp,fn,precision,recall,f1,jaccard,seam_pct,off_surface_pct
039,4.5,6144,374,373,6.087239583333334,6.070963541666666,306,67,68,0.8203753351206434,0.8181818181818182,0.8192771084337349,0.6938775510204082,0.35807291666666663,0.0
039,5.0,6144,374,306,6.087239583333334,4.98046875,291,15,83,0.9509803921568627,0.7780748663101604,0.8558823529411764,0.7480719794344473,0.35807291666666663,0.0
039,5.5,6144,374,286,6.087239583333334,4.654947916666666,281,5,93,0.9825174825174825,0.7513368983957219,0.8515151515151514,0.741424802110818,0.35807291666666663,0.0
039,6.0,6144,374,275,6.087239583333334,4.475911458333334,274,1,100,0.9963636363636363,0.732620320855615,0.8443759630200308,0.7306666666666667,0.35807291666666663,0.0
039,7.0,6144,374,254,6.087239583333334,4.134114583333334,254,0,120,1.0,0.679144385026738,0.8089171974522293,0.679144385026738,0.35807291666666663,0.0
039,8.0,6144,374,236,6.087239583333334,3.8411458333333335,236,0,138,1.0,0.6310160427807486,0.7737704918032787,0.6310160427807486,0.35807291666666663,0.0
022,3.0,6144,414,2350,6.73828125,38.24869791666667,391,1959,23,0.16638297872340427,0.9444444444444444,0.2829232995658466,0.16477033291192583,0.37434895833333337,0.0
022,3.5,6144,414,1439,6.73828125,23.421223958333336,383,1056,31,0.2661570535093815,0.9251207729468599,0.4133837021046951,0.2605442176870748,0.37434895833333337,0.0
022,4.0,6144,414,787,6.73828125,12.809244791666666,363,424,51,0.46124523506988563,0.8768115942028986,0.6044962531223981,0.4331742243436754,0.37434895833333337,0.0
022,4.5,6144,414,506,6.73828125,8.235677083333332,349,157,65,0.6897233201581028,0.8429951690821256,0.758695652173913,0.6112084063047285,0.37434895833333337,0.0
022,5.0,6144,414,381,6.73828125,6.201171875,337,44,77,0.884514435695538,0.8140096618357487,0.8477987421383647,0.7358078602620087,0.37434895833333337,0.0
022,5.5,6144,414,337,6.73828125,5.485026041666666,325,12,89,0.9643916913946587,0.785024154589372,0.8655126498002663,0.7629107981220657,0.37434895833333337,0.0
022,6.0,6144,414,318,6.73828125,5.17578125,317,1,97,0.9968553459119497,0.7657004830917874,0.8661202185792349,0.763855421686747,0.37434895833333337,0.0
022,7.0,6144,414,295,6.73828125,4.801432291666666,294,1,120,0.9966101694915255,0.7101449275362319,0.8293370944992948,0.708433734939759,0.37434895833333337,0.0
022,8.0,6144,414,273,6.73828125,4.443359375,273,0,141,1.0,0.6594202898550725,0.794759825327511,0.6594202898550725,0.37434895833333337,0.0
080,3.0,6144,362,2953,5.891927083333334,48.06315104166667,342,2611,20,0.11581442600745005,0.9447513812154696,0.2063348416289593,0.11503531786074672,0.37434895833333337,0.0
080,3.5,6144,362,1980,5.891927083333334,32.2265625,329,1651,33,0.16616161616161615,0.9088397790055248,0.2809564474807857,0.16343765524093393,0.37434895833333337,0.0
080,4.0,6144,362,1228,5.891927083333334,19.986979166666664,320,908,42,0.26058631921824105,0.8839779005524862,0.4025157232704402,0.25196850393700787,0.37434895833333337,0.0
080,4.5,6144,362,740,5.891927083333334,12.044270833333332,310,430,52,0.4189189189189189,0.856353591160221,0.5626134301270418,0.39141414141414144,0.37434895833333337,0.0
080,5.0,6144,362,476,5.891927083333334,7.747395833333333,293,183,69,0.615546218487395,0.8093922651933702,0.6992840095465394,0.5376146788990825,0.37434895833333337,0.0
080,5.5,6144,362,343,5.891927083333334,5.582682291666666,286,57,76,0.8338192419825073,0.7900552486187845,0.8113475177304964,0.6825775656324582,0.37434895833333337,0.0
