run,id,definition,defect_gt_%,defect_cov_mm,defect_HD95_mm,defect_n_pred,defect_prec_mm,defect_F1@0.05
tie_qk,000,implant,5.501302083333334,2.4323493743291866,3.741602245478069,344,2.4513250797978383,0.9985185185185186
tie_qk,018,5mm,6.998697916666667,3.220735663263556,4.798629366182543,504,2.9864973150607454,0.9906103286384975
tie_qk,018,6mm,5.257161458333334,3.1769297994454258,4.7893906116385665,336,3.133072333097471,0.9894019259066104
tie_qk,018,implant,6.656901041666667,3.2319294164336565,4.7824674439136805,362,3.057469497408474,0.9975490196078431
tie_qk,030,5mm,7.503255208333333,3.0148164192713254,4.727512731765006,532,2.7524316677367593,0.9923497267759563
tie_qk,030,6mm,5.908203125,3.015604851556752,4.694901092261501,374,2.8709142960776757,0.9918908080973102
tie_qk,030,implant,7.486979166666667,2.9522347519850327,4.5718869175708114,432,2.7778121831444085,0.9978213507625272
tie_qk,073,5mm,6.022135416666666,3.537149604099481,5.448906914351722,431,3.065596572603777,0.9458689458689459
tie_qk,073,6mm,4.6875,3.6408558410238157,5.47428656584873,306,3.40711184965848,0.9188869153345174
tie_qk,073,implant,6.184895833333334,3.566299668416462,5.458297645635845,328,3.2752798402861556,0.9444444444444444
tie_qk,033,5mm,6.803385416666667,3.014438989004589,4.612645108237517,508,2.8079363687759797,0.9891172914147521
tie_qk,033,6mm,5.387369791666666,3.0042362221271572,4.513832766406948,387,2.93092968328355,0.9887889721382271
tie_qk,033,implant,6.93359375,2.9639357808016964,4.458908872568025,428,2.90904664054933,0.9964664310954063
tie_qk,090,5mm,7.877604166666667,3.567352788202566,6.489421147205495,557,3.1383742887314323,0.9432314410480349
tie_qk,090,6mm,6.103515625,3.4707528468559956,6.094189997877633,440,3.397863137057895,0.9406466141225671
tie_qk,090,implant,7.486979166666667,3.63550976550595,6.501176560019407,432,3.2337828442820076,0.9388696655132642
tie_qk,004,5mm,5.387369791666666,2.9728358207249266,4.4997445991807385,424,2.869008271082371,0.9877675840978594
tie_qk,004,6mm,4.1015625,2.864091333178005,4.438241007125896,298,2.9209234785687284,0.9825179563626508
tie_qk,004,implant,5.598958333333334,2.904979222139232,4.485351580390402,342,2.863277465672347,0.988235294117647
tie_qk,076,5mm,5.989583333333334,2.976746971065369,4.545602660561532,537,2.8391427597104433,0.9862258953168044
tie_qk,076,6mm,3.90625,2.8592948508631073,4.162763471016658,322,2.9462116818702184,0.9844236760124611
tie_qk,076,implant,4.801432291666666,2.79727066078561,4.223291403276626,324,2.8493587516926575,0.9965986394557823
tie_qk,077,5mm,4.345703125,2.866708645564935,4.394952871381622,333,2.6804176678658425,0.9808339496511356
tie_qk,077,6mm,3.4993489583333335,2.87640303699992,4.35034038159352,256,2.8405352433867344,0.976653334573528
tie_qk,077,implant,4.947916666666666,2.8988292378723526,4.37600604357488,314,2.854886460491109,0.9788527397260275
tie_qk,012,5mm,6.868489583333333,2.8454675928732462,4.458426659337057,546,2.7712614302930545,0.9964328180737217
tie_qk,012,6mm,4.817708333333334,2.768141212636679,4.362146859269085,357,2.8284891898202376,0.9985974754558204
tie_qk,012,implant,6.201171875,2.798894814664932,4.271687338647891,394,2.8159225728527337,0.9986859395532194
tie_qk,031,5mm,6.526692708333333,2.698788654128556,4.164806730819057,492,2.6582884698513793,0.992462311557789
tie_qk,031,6mm,5.436197916666666,2.6038191389789205,4.07364870688855,389,2.6641188515977055,0.9974226804123711
tie_qk,031,implant,7.161458333333333,2.6301798822423588,4.082700177762439,477,2.6394641840281023,1.0
tie_qk_r2,083,5mm,6.689453125,3.661679804636615,6.22544337932404,567,3.073565726074865,0.9461538461538462
tie_qk_r2,083,6mm,3.6946614583333335,3.528161717537272,5.696301823554799,322,3.4631811000950425,0.930738762042637
tie_qk_r2,083,implant,4.703776041666666,3.4691046302261475,5.524349221850158,309,3.3062557134388437,0.967857142857143
tie_qk_r2,053,5mm,6.8359375,5.8600663639196995,11.933251397932597,298,3.1315344880227816,0.787878787878788
tie_qk_r2,053,6mm,4.248046875,6.633223030531341,12.023967702091497,142,3.6129241873101883,0.7111111111111111
tie_qk_r2,053,implant,5.501302083333334,6.658227018414496,12.431016964125225,120,3.3399771554947226,0.7123809523809524
tie_qk_r2,070,5mm,6.461588541666667,2.749215439091105,4.416099508205199,515,2.6444396131195127,0.9936628643852978
tie_qk_r2,070,6mm,4.78515625,2.6150154723421135,4.031781111374789,358,2.632404294501866,0.9955048244400118
tie_qk_r2,070,implant,6.119791666666666,2.610907136386354,4.060240793351399,388,2.620170695556899,0.9973333333333333
tie_qk_r2,045,5mm,4.899088541666666,2.8366319063031558,4.4107616656633795,329,2.614055230954742,0.9769758597883597
tie_qk_r2,045,6mm,4.264322916666666,2.8269685147829096,4.431207204147926,285,2.6773779654211864,0.9717891662131347
tie_qk_r2,045,implant,6.15234375,2.821393290070374,4.414071325402755,371,2.6635193018538983,0.978623885294632
tie_qk_r2,044,5mm,7.649739583333333,3.28384631917234,5.248494764006421,605,3.0105014625551245,0.9804772234273319
