run,id,n_dense,dense_spacing_mm,gt_p2s_max_mm,p2s_abs_median_mm,p2s_abs_p95_mm,p2s_bias_mm,p2s_std_mm,p2s_outside_pct,p2s_defect_abs_median_mm,n_pred_defect,s2p_mean_mm,s2p_hd95_mm,s2p_floor_mean_mm,s2p_floor_hd95_mm,s2p_defect_mean_mm,s2p_defect_hd95_mm,s2p_floor_defect_mean_mm,defect_pct_of_surface,dev_abs_median_mm,dev_abs_p95_mm,dev_bias_mm,dev_std_mm,dev_outside_pct
cd_rep05_full_f0,070,200000,1.1065852262107403,6.571509857167257e-06,1.285672929556925,4.002688611331539,-0.4502631063483669,1.965848782115676,44.20572916666667,0.7054308443341006,372,3.058935501624898,5.032716164768594,2.3484988864516496,4.019215877299266,2.6508598080071746,4.141956815572074,2.3586586953829056,5.643,2.1723678706884764,5.468285985486303,0.2196142474129344,2.957312973477221,52.294921875
cd_rep05_full_f0,045,200000,0.9579075289475784,5.9826860273012224e-06,1.172559872744443,4.517126877077181,-1.011413215899886,1.934820676711661,32.48697916666667,1.415995485354859,367,2.7510666921776328,4.586431788930138,2.058474526852299,3.507998564635112,2.7671613153063674,4.120355640587297,2.052892249302791,5.8785,2.310903857185392,5.852074096068596,-0.0162915698630049,3.143078533009515,50.45572916666666
cd_rep05_full_f0,044,200000,1.1054705560332103,7.776951931706941e-06,1.336618114329335,3.6562134091795673,0.0015720209778465,1.9301459100810143,51.936848958333336,1.619810334112028,385,3.1930936773053165,5.561196517628507,2.3873241537159835,4.089396415298683,3.1849745157831824,4.725730565506781,2.413143388740712,6.4235,1.9198485756112424,5.278654811060409,0.1428074297466609,2.784859285525244,51.04166666666666
cd_rep05_full_f0,039,200000,0.9709920981734276,5.779971373138814e-06,1.1114004437049692,3.989355838162174,-0.5959084028082793,1.7888466745076526,40.46223958333333,1.910831883112695,314,2.762927575416521,4.6812341600834495,2.080612816624762,3.539360894097748,3.130147529988753,4.249230557810797,2.142162739416829,6.046,1.9907334666769867,5.355931035850452,0.106580101355011,2.775159100649311,51.82291666666666
cd_rep05_full_f0,022,200000,1.064332415296053,6.277251237480842e-06,1.283721607532773,3.923310396420269,-0.2919269718838382,1.9488801337841213,48.095703125,2.7949948417900865,335,3.040106982421392,5.183318811422287,2.225643880273002,3.7708588631402473,3.872803087897783,5.225809896519508,2.2090332366062424,5.883,1.782175272920074,5.2353933440694655,0.0862655173098059,2.6235909440647984,51.7578125
cd_rep05_full_f0,080,200000,1.141683308871465,9.122919306683063e-06,1.6342224861620456,5.009030201115934,-0.2154085609372249,2.599398951005266,51.057942708333336,1.0297409707645944,336,3.9513299262083166,8.12976757667006,2.46380446392804,4.198487976988643,2.959112876056015,4.653052685125628,2.423065755994736,5.463500000000001,2.0292698846569817,5.896912097101767,-0.2147252274557072,3.0434491546132403,47.802734375
cd_rep05_full_f1,055,200000,1.054028450519634,6.25727672343146e-06,1.1139035154381096,3.4860533680486068,-0.3341226504819324,1.7264010179910958,46.41927083333333,1.8758550031450545,359,2.7984447223127145,4.558481500854088,2.2151836346696205,3.762515852569882,3.0779124653369414,4.387458008322227,2.201835033729993,5.3205,1.7618156721278848,5.321354249060636,-0.1658205078070063,2.70087958895533,48.17708333333333
cd_rep05_full_f1,088,200000,1.0288774934122005,6.706807913865028e-06,1.2129920881067178,3.765172800908781,-0.3986298049567428,1.9543472572766032,43.53841145833333,1.6661415044083348,283,2.9006625960571024,4.829373212320292,2.2054827001370936,3.7591141156651458,3.234377390489348,5.0006430268167605,2.149143031005103,5.17,2.086605371094054,5.926968541890288,-0.1506132520288354,3.118763983843902,48.50260416666667
cd_rep05_full_f1,026,200000,1.0119360963043271,6.172669302876809e-06,0.9952942896932566,3.421207709724389,0.3589477904484002,1.6567985639618577,60.823567708333336,0.5263385446681548,384,2.907651372429528,5.335635793125165,2.2111346430066834,3.789256410246939,2.4346036156131,3.8183047242943,2.232946300148426,6.337,1.7916266064467132,3.9261633904383615,-0.0371396030508319,2.232290641788946,49.267578125
cd_rep05_full_f1,042,200000,1.066152925111456,6.563541879412848e-06,1.361125141506908,4.4870886660266285,-0.0690862799604364,2.1861814861897315,53.889973958333336,2.417011128531516,265,3.219924828056697,5.906443744101627,2.2822715408789214,3.9046478346262536,4.526480987820505,7.423014871350433,2.28968101679408,5.9145,1.6828180665921215,6.214956602414421,0.1287362315680125,2.846402617861177,50.569661458333336
